,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href,employees,shares_outstanding,stock_valuation,company_address,phone
955,Beam Therapeutics Inc.,BEAM,NASDAQ Global Select,17.0,"10,588,236","$180,000,012",2020-02-06,/market-activity/ipos/overview?dealId=1061439-90721,112,"49,663,082",844272394.0,26 LANDSDOWNE STREET   CAMBRIDGE MA 02139,857-327-8775
956,Professional Holding Corp.,PFHD,NASDAQ Global Select,18.5,"3,100,000","$57,350,000",2020-02-07,/market-activity/ipos/overview?dealId=962916-91402,135,"8,215,262",151982347.0,"396 ALHAMBRA CIRCLE, STE. 255   CORAL GABLES FL 33146",786-483-1757
957,OneWater Marine Inc.,ONEW,NASDAQ Global,12.0,"4,615,385","$55,384,620",2020-02-07,/market-activity/ipos/overview?dealId=1090857-90129,1102,"5,395,598",64747176.0,6275 LANIER ISLANDS PARKWAY   BUFORD GA 30518,(855) 208-4359
958,Huize Holding Ltd,HUIZ,NASDAQ Global,10.5,"5,250,000","$55,125,000",2020-02-12,/market-activity/ipos/overview?dealId=1094966-90524,1017,"5,250,000",55125000.0,"5/F, BUILDING 3-4, SHENZHEN ANIMATION PARK, YUEHAI ROAD, NANHAI AVENUE  SHENZHEN  518052",86 755 3689 9088
959,"Revolution Medicines, Inc.",RVMD,NASDAQ Global Select,17.0,"14,000,000","$238,000,000",2020-02-13,/market-activity/ipos/overview?dealId=1010863-91480,90,"56,902,309",967339253.0,700 SAGINAW DR   REDWOOD CITY CA 94063,415-766-3638
960,"TRXADE GROUP, INC.",MEDS,NASDAQ Capital,6.5,"806,452","$5,241,938",2020-02-13,/market-activity/ipos/overview?dealId=747429-91280,29,"7,345,862",47748103.0,3840 LAND O' LAKES BOULEVARD   LAND O' LAKES FL 34639,(800) 261 0281
961,Zhongchao Inc.,ZCMD,NASDAQ Capital,4.0,"3,000,000","$12,000,000",2020-02-24,/market-activity/ipos/overview?dealId=1101930-91133,90,"19,102,420",76409680.0,"841 YAN AN MIDDLE ROAD, JING AN DISTRICT NANXI CREATIVE CENTER, SUITE 218  SHANGHAI  200040",021-32205987
962,"Passage BIO, Inc.",PASG,NASDAQ Global Select,18.0,"12,000,000","$216,000,000",2020-02-28,/market-activity/ipos/overview?dealId=1095171-91585,20,"43,998,295",791969310.0,"ONE COMMERCE SQUARE 2005 MARKET STREET, 39TH FLOOR  PHILADELPHIA PA 19103",2678660312
963,"Lyra Therapeutics, Inc.",LYRA,NASDAQ Global,16.0,"3,500,000","$56,000,000",2020-05-01,/market-activity/ipos/overview?dealId=674195-91878,34,"12,399,563",198393008.0,480 ARSENAL STREET   WATERTOWN MA 02472,617-373-4600
964,GAN Ltd,GAN,NASDAQ Capital,8.5,"6,380,000","$54,230,000",2020-05-05,/market-activity/ipos/overview?dealId=1113320-92004,136,"27,983,910",237863235.0,"400 SPECTRUM CENTER DRIVE, SUITE 1900   IRVINE CA 92618",702-964-5777
965,China Liberal Education Holdings Ltd,CLEU,NASDAQ Capital,6.0,"1,333,333","$7,999,998",2020-05-08,/market-activity/ipos/overview?dealId=1092673-90273,98,"6,333,333",37999998.0,"HUATENG CENTURY PARK HEADQUARTERS BUILDING A, LEVEL 2  BEIJING  0000000",86 10 6597 8118
966,"Ayala Pharmaceuticals, Inc.",AYLA,NASDAQ Global,15.0,"3,666,667","$55,000,005",2020-05-08,/market-activity/ipos/overview?dealId=1111669-91871,29,"12,446,611",186699165.0,1313 N. MARKET STREET SUITE 5100  WILMINGTON DE 19801,(857) 444-0553
967,Kingsoft Cloud Holdings Ltd,KC,NASDAQ Global Select,17.0,"30,000,000","$510,000,000",2020-05-08,/market-activity/ipos/overview?dealId=1115099-92173,1841,205264433,3489495361.0,"KINGSOFT TOWER NO. 33 XIAO YING WEST ROAD  HAIDIAN DISTRICT, BEIJING  00000",86 10 8232 5655
968,ADC Therapeutics SA,ADCT,NYSE,19.0,"12,245,631","$232,666,989",2020-05-15,/market-activity/ipos/overview?dealId=1095306-92232,138,"68,892,864",1308964416.0,BIOPOLE ROUTE DE LA CORNICHE 3B  EPALINGES  1066,41 21 653 02 00
969,"SelectQuote, Inc.",SLQT,NYSE,20.0,"28,500,000","$570,000,000",2020-05-21,/market-activity/ipos/overview?dealId=1110384-91734,1800,"161,817,264",3236345280.0,6800 WEST 115TH STREET SUITE 2511  OVERLAND PARK KS 66211,9132741994
970,"Inari Medical, Inc.",NARI,NASDAQ Global Select,19.0,"8,202,565","$155,848,735",2020-05-22,/market-activity/ipos/overview?dealId=864405-91738,240,"46,950,400",892057600.0,"9 PARKER, SUITE 100   IRVINE CA 92618",949-923-4747
971,"PLIANT THERAPEUTICS, INC.",PLRX,NASDAQ Global Select,16.0,"9,000,000","$144,000,000",2020-06-03,/market-activity/ipos/overview?dealId=1059589-92376,62,"34,201,346",547221536.0,260 LITTLEFIELD AVENUE   SOUTH SAN FRANCISCO CA 94080,650-481-6770
972,Warner Music Group Corp.,WMG,NASDAQ Global Select,25.0,"77,000,000","$1,925,000,000",2020-06-03,/market-activity/ipos/overview?dealId=667095-91616,5400,"77,000,000",1925000000.0,1633 BROADWAY   NEW YORK NY 10019,212-275-2000
973,ZoomInfo Technologies Inc.,ZI,NASDAQ Global Select,21.0,"44,500,000","$934,500,000",2020-06-04,/market-activity/ipos/overview?dealId=1110768-91781,1287,"45,378,984",952958664.0,805 BROADWAY ST SUITE 900  VANCOUVER WA 98660,800-914-1220
974,Legend Biotech Corp,LEGN,NASDAQ Global Select,23.0,"18,425,000","$423,775,000",2020-06-05,/market-activity/ipos/overview?dealId=1114251-92426,645,"18,425,000",423775000.0,2101 COTTONTAIL LANE   SOMERSET NJ 08873,732-317-5050
975,"Shift4 Payments, Inc.",FOUR,NYSE,23.0,"15,000,000","$345,000,000",2020-06-05,/market-activity/ipos/overview?dealId=1117559-92459,738,"21,074,996",484724908.0,2202 NORTH IRVING STREET   ALLENTOWN PA 18109,888.276.2108 X1220
976,Calliditas Therapeutics AB,CALT,NASDAQ Global Select,19.5,"4,153,385","$80,991,008",2020-06-05,/market-activity/ipos/overview?dealId=1117306-92434,24,"23,969,204",467399478.0,"KUNGSBRON 1, C8   STOCKHOLM  SE-111 22",46 8411 3005
977,Dada Nexus Ltd,DADA,NASDAQ Global Select,16.0,"20,000,000","$320,000,000",2020-06-05,/market-activity/ipos/overview?dealId=1117138-92405,2149,"20,000,000",320000000.0,"22F, ORIENTAL FISHERMAN'S WHARF NO. 1088, YANGSHUPU ROAD, YANGPU DISTRCT  SHANGHAI  200082",86-2131657167
978,Applied Molecular Transport Inc.,AMTI,NASDAQ Global Select,14.0,"11,000,000","$154,000,000",2020-06-05,/market-activity/ipos/overview?dealId=1117657-92476,49,"32,400,624",453608736.0,"1 TOWER PLACE, SUITE 850   SOUTH SAN FRANCISCO CA 94080",650-392-0420
979,"Vroom, Inc.",VRM,NASDAQ Global Select,22.0,"21,250,000","$467,500,000",2020-06-09,/market-activity/ipos/overview?dealId=910204-92485,800,"115,237,090",2535215980.0,"1375 BROADWAY, 11TH FLOOR   NEW YORK NY 10018",646-979-4746
980,uCloudlink Group Inc.,UCL,NASDAQ Global,18.0,"2,010,000","$36,180,000",2020-06-10,/market-activity/ipos/overview?dealId=1116506-92297,777,"2,010,000",36180000.0,"ROOM 2119, 21/F, ONE PACIFIC CENTRE 414 KWUN TONG ROAD, KWUN TONG, KOWLOON  HONG KONG  999077",852 31758988
981,Burning Rock Biotech Ltd,BNR,NASDAQ Global,16.5,"13,500,000","$222,750,000",2020-06-12,/market-activity/ipos/overview?dealId=1118011-92531,753,"13,500,000",222750000.0,"601,BUILDING 3,STANDARD INDUSTRIAL UNIT2 NO.7 LUOXUAN 4TH ROAD, INT'L BIO ISLAND  GUANGZHOU  510005",86 18501641666
982,AZEK Co Inc.,AZEK,NYSE,23.0,"33,250,000","$764,750,000",2020-06-12,/market-activity/ipos/overview?dealId=1108834-91621,1540,"111,043,031",2553989713.0,"1330 W FULTON STREET, #350   CHICAGO IL 60607",877-275-2935
983,Generation Bio Co.,GBIO,NASDAQ Global Select,19.0,"10,500,000","$199,500,000",2020-06-12,/market-activity/ipos/overview?dealId=1047390-92534,85,"44,634,420",848053980.0,301 BINNEY STREET   CAMBRIDGE MA 02142,857-529-5908
984,"Vaxcyte, Inc.",PCVX,NASDAQ Global Select,16.0,"15,625,000","$250,000,000",2020-06-12,/market-activity/ipos/overview?dealId=971386-92547,43,"48,385,771",774172336.0,353 HATCH DR   FOSTER CITY CA 94404,650-837-0111
985,"Avidity Biosciences, Inc.",RNA,NASDAQ Global,18.0,"14,400,000","$259,200,000",2020-06-12,/market-activity/ipos/overview?dealId=927563-92536,38,"35,350,798",636314364.0,"10975 N. TORREY PINES RD., #150  LA JOLLA CA 92037",858-401-7900
986,Repare Therapeutics Inc.,RPTX,NASDAQ Global Select,20.0,"11,000,000","$220,000,000",2020-06-19,/market-activity/ipos/overview?dealId=1118673-92598,64,"35,018,085",700361700.0,"7210 FREDERICK-BANTING, SUITE 100   ST-LAURENT  H4S 2A1",(857) 412-7018
987,"PROGENITY, INC.",PROG,NASDAQ Global,15.0,"6,666,667","$100,000,005",2020-06-19,/market-activity/ipos/overview?dealId=909699-92573,674,"45,163,795",677456925.0,4330 LA JOLLA VILLAGE DRIVE SUITE 200  SAN DIEGO CA 92122,855-293-2639
988,Genetron Holdings Ltd,GTH,NASDAQ Global,16.0,"16,000,000","$256,000,000",2020-06-19,/market-activity/ipos/overview?dealId=1101913-91132,697,88362020,1413792320.0,"1-2/F, BUILDING 11, ZONE 1 NO.8 LIFE SCIENCE PARKWAY  CHANGPING DISTRICT, BEIJING  102206",86 (10) 5090 7500
989,"Forma Therapeutics Holdings, Inc.",FMTX,NASDAQ Global,20.0,"13,882,352","$277,647,040",2020-06-19,/market-activity/ipos/overview?dealId=872107-92587,80,"36,497,123",729942460.0,500 ARSENAL STREET SUITE 100  WATERTOWN MA 02472,617-679-1970
990,PolyPid Ltd.,PYPD,NASDAQ Global,16.0,"3,750,000","$60,000,000",2020-06-26,/market-activity/ipos/overview?dealId=947080-92678,58,"17,046,451",272743216.0,18 HASIVIM STREET   PETACH TIKVA  495376,972-74-7195700
991,"Albertsons Companies, Inc.",ACI,NYSE,16.0,"50,000,000","$800,000,000",2020-06-26,/market-activity/ipos/overview?dealId=970028-91876,270000,"479,026,753",7664428048.0,250 PARKCENTER BLVD.   BOISE ID 83706,208-395-6200
992,"Akouos, Inc.",AKUS,NASDAQ Global Select,17.0,"12,500,000","$212,500,000",2020-06-26,/market-activity/ipos/overview?dealId=1037280-92677,57,"32,481,704",552188968.0,"645 SUMMER STREET, SUITE 200   BOSTON MA 02210",857-245-5715
993,"Agora, Inc.",API,NASDAQ Global Select,20.0,"17,500,000","$350,000,000",2020-06-26,/market-activity/ipos/overview?dealId=1119203-92665,498,"17,500,000",350000000.0,"FL 8 BLDG 12, PHASE III OF KIC SONGHU ROAD 333, YANGPU DISTRICT  SHANGHAI  200433",(86) 18321333164
994,Ebang International Holdings Inc.,EBON,NASDAQ Global Select,5.23,"19,264,337","$100,752,483",2020-06-26,/market-activity/ipos/overview?dealId=1115664-92233,240,"84,409,554",441461967.42,"BUILDING 2, 1418-36, MOGANSHAN ROAD   HANGZHOU  310015",8657188176197
995,Fusion Pharmaceuticals Inc.,FUSN,NASDAQ Global Select,17.0,"12,500,000","$212,500,000",2020-06-26,/market-activity/ipos/overview?dealId=1119222-92670,40,"41,664,044",708288748.0,270 LONGWOOD ROAD SOUTH   HAMILTON  L8P 0A6,289-799-0891
996,"Dun & Bradstreet Holdings, Inc.",DNB,NYSE,22.0,"78,302,272","$1,722,649,984",2020-07-01,/market-activity/ipos/overview?dealId=1119459-92723,4037,"411,255,940",9047630680.0,101 JFK PARKWAY   SHORT HILLS NJ 07078,(973) 921-5500
997,"Lemonade, Inc.",LMND,NYSE,29.0,"11,000,000","$319,000,000",2020-07-02,/market-activity/ipos/overview?dealId=1009623-92701,329,"54,896,246",1591991134.0,5 CROSBY STREET 3RD FLOOR  NEW YORK NY 10013,9176089499
998,"Accolade, Inc.",ACCD,NASDAQ Global Select,22.0,"10,022,726","$220,499,972",2020-07-02,/market-activity/ipos/overview?dealId=819746-91824,1250,"47,285,302",1040276644.0,660 W. GERMANTOWN PIKE SUITE 500   PLYMOUTH MEETING PA 19462,347-574-3820
999,BlueCity Holdings Ltd,BLCT,NASDAQ Global,16.0,"5,300,000","$84,800,000",2020-07-08,/market-activity/ipos/overview?dealId=1119981-92802,488,"5,300,000",84800000.0,"ROOM 028, TOWER B, BLOCK 2 NO.22 PINGGUO SHEQU, BAI ZI WAN ROAD  BEIJING  100022",86 10 58769855
1000,QUHUO Ltd,QH,NASDAQ Global,10.0,"3,300,000","$33,000,000",2020-07-10,/market-activity/ipos/overview?dealId=1119110-92658,551,"3,300,000",33000000.0,"3RD FLOOR, BLOCK D, TONGHUI BUILDING NO. 1132 HUIHE SOUTH STREET  BEIJING  100020",00861053318747
1001,"Poseida Therapeutics, Inc.",PSTX,NASDAQ Global Select,16.0,"14,000,000","$224,000,000",2020-07-10,/market-activity/ipos/overview?dealId=982447-92848,149,"61,815,886",989054176.0,9390 TOWNE CENTRE DRIVE SUITE 200  SAN DIEGO CA 92121,858-779-3100
1002,"Nkarta, Inc.",NKTX,NASDAQ Global Select,18.0,"14,000,000","$252,000,000",2020-07-10,/market-activity/ipos/overview?dealId=1095278-92838,70,"30,427,537",547695666.0,6000 SHORELINE COURT SUITE 102  SOUTH SAN FRANCISCO CA 94080,415-582-4923
1003,Inventiva S.A.,IVA,NASDAQ Global,14.4,"7,478,261","$107,686,958",2020-07-10,/market-activity/ipos/overview?dealId=1120372-92843,88,"38,166,011",549590558.4,50 RUE DE DIJON   DAIX  21121,33380447500
1004,"NCINO, INC.",NCNO,NASDAQ Global Select,31.0,"8,060,000","$249,860,000",2020-07-14,/market-activity/ipos/overview?dealId=898341-92856,934,"89,643,127",2778936937.0,6770 PARKER FARM DRIVE SUITE 200  WILMINGTON NC 28405,(888) 676-2466
1005,"GoHealth, Inc.",GOCO,NASDAQ Global Select,21.0,"43,500,000","$913,500,000",2020-07-15,/market-activity/ipos/overview?dealId=1120303-92832,1857,"80,816,989",1697156769.0,214 WEST HURON STREET   CHICAGO IL 60654,(312) 386-8222
1006,"Relay Therapeutics, Inc.",RLAY,NASDAQ Global,20.0,"20,000,000","$400,000,000",2020-07-16,/market-activity/ipos/overview?dealId=1120735-92894,122,"86,875,742",1737514840.0,399 BINNEY STREET 2ND FLOOR  CAMBRIDGE MA 02139,617-370-8837
1007,ALX ONCOLOGY HOLDINGS INC,ALXO,NASDAQ Global Select,19.0,"8,500,000","$161,500,000",2020-07-17,/market-activity/ipos/overview?dealId=1120946-92924,15,"35,211,553",669019507.0,"866 MALCOLM ROAD, SUITE 100   BURLINGAME CA 94010",650-466-7125
1008,Renalytix AI plc,RNLX,NASDAQ Global,13.5,"5,485,000","$74,047,500",2020-07-17,/market-activity/ipos/overview?dealId=1120737-92895,14,"35,208,067",475308904.5,AVON HOUSE 19 STANWELL ROAD PENARTH  CARDIFF  CF64 2EZ,44 29 2071 0570
1009,"Pandion Therapeutics, Inc.",PAND,NASDAQ Global Select,18.0,"7,500,000","$135,000,000",2020-07-17,/market-activity/ipos/overview?dealId=1114295-92932,43,"28,525,774",513463932.0,134 COOLIDGE AVENUE 2ND FLOOR  WATERTOWN MA 02472,617-393-5925
1010,"Berkeley Lights, Inc.",BLI,NASDAQ Global Select,22.0,"8,100,000","$178,200,000",2020-07-17,/market-activity/ipos/overview?dealId=1008371-92923,210,"61,643,919",1356166218.0,5858 HORTON STREET SUITE 320  EMERYVILLE CA 94608,510-858-2855
1011,Jamf Holding Corp.,JAMF,NASDAQ Global Select,26.0,"18,000,000","$468,000,000",2020-07-22,/market-activity/ipos/overview?dealId=1037257-92948,1318,"116,362,404",3025422504.0,100 WASHINGTON AVE. S. SUITE 1100  MINNEAPOLIS MN 55401,612-605-6625
1012,"Montrose Environmental Group, Inc.",MEG,NYSE,15.0,"10,000,000","$150,000,000",2020-07-23,/market-activity/ipos/overview?dealId=967379-92951,1730,"20,912,422",313686330.0,"1 PARK PLAZA, SUITE 1000   IRVINE CA 92614",(949) 988-3500
1013,Skillful Craftsman Education Technology Ltd,EDTK,NASDAQ Capital,5.0,"3,000,000","$15,000,000",2020-07-23,/market-activity/ipos/overview?dealId=1115567-92220,44,"12,000,000",60000000.0,"FLOOR 4 BLDG 1 NO. 311 YANXIN RD   HUISHAN QU, WUXI SHI  214406",13395136886
1014,"iTeos Therapeutics, Inc.",ITOS,NASDAQ Global,19.0,"10,586,316","$201,140,004",2020-07-24,/market-activity/ipos/overview?dealId=1114515-92896,46,"33,434,807",635261333.0,139 MAIN STREET   CAMBRIDGE MA 02142,857-204-4583
1015,"Inozyme Pharma, Inc.",INZY,NASDAQ Global Select,16.0,"7,000,000","$112,000,000",2020-07-24,/market-activity/ipos/overview?dealId=1011886-92990,24,"22,314,851",357037616.0,321 SUMMER STREET SUITE 400  BOSTON MA 02210,857-330-4340
1016,"Annexon, Inc.",ANNX,NASDAQ Global Select,17.0,"14,750,000","$250,750,000",2020-07-24,/market-activity/ipos/overview?dealId=862369-93016,30,"36,008,687",612147679.0,180 KIMBALL WAY SUITE 200  SOUTH SAN FRANCISCO CA 94080,(650)-822-5500
1017,"Nurix Therapeutics, Inc.",NRIX,NASDAQ Global,19.0,"11,000,000","$209,000,000",2020-07-24,/market-activity/ipos/overview?dealId=882030-92993,103,"37,037,996",703721924.0,"1700 OWENS STREET, SUITE 205   SAN FRANCISCO CA 94158",(415) 660-5320
1018,"Vertex, Inc.",VERX,NASDAQ Global,19.0,"21,150,000","$401,850,000",2020-07-29,/market-activity/ipos/overview?dealId=1121387-92995,1100,"22,576,819",428959561.0,2301 RENAISSANCE BOULEVARD   KING OF PRUSSIA PA 19406,(800) 355-3500
1019,Li Auto Inc.,LI,NASDAQ Global Select,11.5,"95,000,000","$1,092,500,000.00",2020-07-30,/market-activity/ipos/overview?dealId=1122101-93076,2628,"95,000,000",1092500000.0,"8TH FLOOR, BLOCK D, BUILDING 8 4TH DISTRICT OF WANGJING EAST GARDEN  BEIJING  100102",861087427209
1020,"Allovir, Inc.",ALVR,NASDAQ Global Select,17.0,"16,250,000","$276,250,000",2020-07-30,/market-activity/ipos/overview?dealId=1065716-93028,21,"62,669,373",1065379341.0,"139 MAIN STREET, SUITE 500   CAMBRIDGE MA 02142",617-433-2605
1021,Vasta Platform Ltd,VSTA,NASDAQ Global Select,19.0,"18,575,492","$352,934,348",2020-07-31,/market-activity/ipos/overview?dealId=1121456-93023,1956,"18,575,492",352934348.0,"AVENIDA PAULISTA, 1106, 10TH FLOOR BELA VISTA  SAO PAULO  01310-100",55 11 3133-7559
1022,"Vital Farms, Inc.",VITL,NASDAQ Global Select,22.0,"9,303,977","$204,687,494",2020-07-31,/market-activity/ipos/overview?dealId=909374-93058,158,"39,175,767",861866874.0,3601 SOUTH CONGRESS AVENUE SUITE C100  AUSTIN TX 78704,(877) 455-3063
1023,1847 Goedeker Inc.,GOED,NYSE MKT,9.0,"1,111,200","$10,000,800",2020-07-31,/market-activity/ipos/overview?dealId=1115447-92206,67,"5,861,200",52750800.0,13850 MANCHESTER ROAD   BALLWIN MO 63011,8887681710
1024,Fathom Holdings Inc.,FTHM,NASDAQ Capital,10.0,"3,430,000","$34,300,000",2020-07-31,/market-activity/ipos/overview?dealId=1067931-91483,22,"13,653,168",136531680.0,2000 REGENCY PARKWAY DRIVE SUITE 300  CARY NC 27518,8884556040
1025,"BigCommerce Holdings, Inc.",BIGC,NASDAQ Global,24.0,"9,019,565","$216,469,560",2020-08-05,/market-activity/ipos/overview?dealId=951245-93094,690,"60,792,991",1459031784.0,"11305 FOUR POINTS DR, BLDG 2, 3RD FLOOR   AUSTIN TX 78726",1-888-699-8911
1026,"Rackspace Technology, Inc.",RXT,NASDAQ Global Select,21.0,"33,500,000","$703,500,000",2020-08-05,/market-activity/ipos/overview?dealId=1121969-93069,6800,"199,057,382",4180205022.0,1 FANATICAL PLACE CITY OF WINDCREST  SAN ANTONIO TX 78218,(210) 312-4000
1027,"Rocket Companies, Inc.",RKT,NYSE,18.0,"100,000,000","$1,800,000,000",2020-08-06,/market-activity/ipos/overview?dealId=1121637-93037,20000,"100,372,565",1806706170.0,1050 WOODWARD AVENUE   DETROIT MI 48226,(800) 226-6308
1028,"Oak Street Health, Inc.",OSH,NYSE,21.0,"15,625,000","$328,125,000",2020-08-06,/market-activity/ipos/overview?dealId=895338-93079,2300,"238,535,856",5009252976.0,"30 W. MONROE ST., STE. 1200   CHICAGO IL 60603",312-773-3374
1029,"Acutus Medical, Inc.",AFIB,NASDAQ Global Select,18.0,"8,823,529","$158,823,522",2020-08-06,/market-activity/ipos/overview?dealId=857589-93114,224,"26,107,305",469931490.0,2210 FARADAY AVE SUITE 100  CARLSBAD CA 92008,442-232-6080
1030,IBEX Ltd,IBEX,NASDAQ Global,19.0,"4,761,905","$90,476,195",2020-08-07,/market-activity/ipos/overview?dealId=1046623-93084,22537,"17,690,813",336125447.0,1700 PENNSYLVANIA AVENUE NW SUITE 560  WASHINGTON DC 20006,(202)289-9898
1031,Freeline Therapeutics Holdings plc,FRLN,NASDAQ Global Select,18.0,"8,823,529","$158,823,522",2020-08-07,/market-activity/ipos/overview?dealId=1122866-93141,208,"34,744,687",625404366.0,"STEVENAGE BIOSCIENCE CATALYST GUNNELS WOOD ROAD, STEVENAGE  HERTFORDSHIRE  SG1 2FX",44 (0)1438 906870
1032,"Checkmate Pharmaceuticals, Inc.",CMPI,NASDAQ Global,15.0,"5,000,000","$75,000,000",2020-08-07,/market-activity/ipos/overview?dealId=973774-93138,19,"21,436,730",321550950.0,"245 MAIN STREET, 2ND FLOOR   CAMBRIDGE MA 02142",978-503-2124
1033,"Kubient, Inc.",KBNT,NASDAQ Capital,5.0,"2,500,000","$12,500,000",2020-08-12,/market-activity/ipos/overview?dealId=1087006-93018,11,"7,646,341",38231705.0,228 PARK AVENUE SOUTH SUITE 72602  NEW YORK NY 10003,(800) 409-9456
1034,KE Holdings Inc.,BEKE,NYSE,20.0,"106,000,000","$2,120,000,000",2020-08-13,/market-activity/ipos/overview?dealId=1123420-93188,87706,"106,000,000",2120000000.0,BUILDING FUDAO NO. 11 KAITUO ROAD  BEIJING  100085,861058104689
1035,NetSTREIT Corp.,NTST,NYSE,18.0,"12,500,000","$225,000,000",2020-08-13,/market-activity/ipos/overview?dealId=1105537-93127,15,"24,297,645",437357610.0,5910 N. CENTRAL EXPRESSWAY SUITE 1600  DALLAS TX 75206,972-200-7100
1036,CureVac N.V.,CVAC,NASDAQ Global,16.0,"13,333,333","$213,333,328",2020-08-14,/market-activity/ipos/overview?dealId=1123448-93191,484,"175,968,204",2815491264.0,PAUL-EHRLICH-STRABE 15 TUBINGEN   BADEN-WURTTEMBERG  72076,49 7071 9883 0
1037,"DUCK CREEK TECHNOLOGIES, INC.",DCT,NASDAQ Global Select,27.0,"15,000,000","$405,000,000",2020-08-14,/market-activity/ipos/overview?dealId=145727-93184,1355,"128,437,830",3467821410.0,"22 BOSTON WHARF ROAD, FLOOR 10   BOSTON MA 02210",(833) 798-7789
1038,"Inhibrx, Inc.",INBX,NASDAQ Global,17.0,"7,000,000","$119,000,000",2020-08-19,/market-activity/ipos/overview?dealId=1053271-93226,80,"36,659,809",623216753.0,"11025 N. TORREY PINES ROAD, SUITE 200   LA JOLLA CA 92037",(858) 795-4220
1039,"Harmony Biosciences Holdings, Inc.",HRMY,NASDAQ Global,24.0,"5,348,837","$128,372,088",2020-08-19,/market-activity/ipos/overview?dealId=1123605-93217,150,"63,678,214",1528277136.0,630 W GERMANTOWN PIKE SUITE 215  PLYMOUTH MEETING PA 19462,(484) 539-9800
1040,"Kymera Therapeutics, Inc.",KYMR,NASDAQ Global,20.0,"8,684,800","$173,696,000",2020-08-21,/market-activity/ipos/overview?dealId=1124066-93266,55,"43,138,602",862772040.0,300 TECHNOLOGY SQUARE 2ND FLOOR  CAMBRIDGE MA 02139,857-285-5314
1041,Nano-X Imaging Ltd.,NNOX,NASDAQ Global,18.0,"9,178,744","$165,217,392",2020-08-21,/market-activity/ipos/overview?dealId=1123947-93252,27,"44,754,976",805589568.0,COMMUNICATIONS CENTER   NEVE ILAN  9085000,972 02 995 0506
1042,XPENG INC.,XPEV,NYSE,15.0,"99,733,334","$1,496,000,010",2020-08-27,/market-activity/ipos/overview?dealId=1124749-93369,3676,"99,733,334",1496000010.0,"NO. 8 SONGGANG ROAD, CHANGXING STREET CENCUN, TIANHE DISTRICT  GUANGZHOU, GUANGDONG  510640",86-020-6680-6680
1043,GREENPOWER MOTOR Co INC.,GP,NASDAQ Capital,20.0,"1,860,000","$37,200,000",2020-08-28,/market-activity/ipos/overview?dealId=913614-93705,48,"18,258,726",365174520.0,#240 - 209 CARRALL STREET   VANCOUVER  V6B 2J2,604-220-8048
1044,"Harbor Custom Development, Inc.",HCDI,NASDAQ Capital,6.0,"1,766,700","$10,600,200",2020-08-28,/market-activity/ipos/overview?dealId=1113794-92047,40,"5,363,043",32178258.0,11505 BURNHAM DR. NW SUITE 301  GIG HARBOR WA 98332,2536490636
